Year,Month,Day,Hour,PM2_5(ug/m3),Ozone(ppbv),Temperature(K),Spec. humidity (g/kg),RH (%),U-wind (m/s),V-wind (m/s),Sur_Pressure (hPa)
2017,1,1,1,2.92,0.3,290.05,9.35,77.86,0.19,-4.53,1011.43
2017,1,1,2,5.41,0.62,291.02,9.55,74.64,-0.91,-5.03,1008.58
2017,1,1,3,5.65,1.52,292.1,9.78,71.41,-2.7,-4.88,1009.2
2017,1,1,4,5.98,5.07,292.71,9.98,70,-3.77,-4.79,1007.95
2017,1,1,5,7.04,10.93,293.25,10.13,68.72,-4.43,-4.32,1007.36
2017,1,1,6,8.17,14.69,293.67,10.27,67.85,-4.83,-3.72,1006.73
2017,1,1,7,8.76,15.3,293.82,10.39,68.01,-5.16,-3.09,1006.44
2017,1,1,8,9.09,12.91,293.55,10.48,69.75,-5.28,-2.58,1006.35
2017,1,1,9,10.44,6.21,292.94,10.58,73.11,-5.03,-2.22,1006.38
2017,1,1,10,12.89,1.37,292.25,10.55,76.13,-5.08,-2.16,1006.55
2017,1,1,11,14.75,0.53,291.63,10.49,78.7,-4.56,-2.38,1006.67
2017,1,1,12,16.29,0.45,291.13,10.41,80.56,-3.57,-2.79,1006.76
2017,1,1,13,17.12,0.44,290.82,10.27,81.01,-2.18,-3.15,1006.7
2017,1,1,14,16.32,0.62,290.65,10.11,80.6,-1.08,-3.15,1006.59
2017,1,1,15,14.96,0.68,290.48,10.02,80.79,-0.32,-2.97,1006.62
2017,1,1,16,12.3,0.81,290.36,9.95,80.87,-0.05,-2.93,1006.67
2017,1,1,17,10.28,1.15,290.2,9.89,81.2,0.06,-3.04,1006.73
2017,1,1,18,9.09,1.56,290,9.8,81.49,0.15,-3.27,1006.8
2017,1,1,19,8.38,2.07,289.86,9.7,81.42,0.25,-3.48,1006.8
2017,1,1,20,7.95,2.58,289.85,9.64,80.9,0.3,-3.59,1006.92
2017,1,1,21,7.5,3.03,289.97,9.62,80.16,0.26,-3.6,1006.99
2017,1,1,22,7.11,3.36,290.16,9.66,79.54,0.1,-3.44,1007.02
2017,1,1,23,7.69,4.1,290.36,9.73,79.08,-0.08,-3.16,1007.06
2017,1,1,24,8.81,6.95,290.56,9.8,78.63,-0.26,-2.8,1007.08
2017,1,2,1,11.29,8.65,291.31,10.53,80.58,-0.61,-1.37,1006.62
2017,1,2,2,14.96,14.04,292.03,10.55,77.27,-1.17,-1.28,1006.69
2017,1,2,3,20.53,23.06,292.75,10.62,74.38,-1.87,-0.89,1006.31
2017,1,2,4,26.29,32.95,293.31,10.71,72.46,-2.4,-0.55,1005.46
2017,1,2,5,30.18,40.66,293.73,10.83,71.48,-3.08,-0.06,1005.07
2017,1,2,6,29.39,43.77,293.92,10.98,71.65,-3.81,0.45,1004.57
2017,1,2,7,27.26,40.66,293.75,11.14,73.5,-4.39,0.87,1004.28
2017,1,2,8,25.08,32.32,293.28,11.23,76.23,-4.5,0.77,1004.45
2017,1,2,9,24.29,18.41,292.6,11.27,79.6,-4.22,0.53,1004.64
2017,1,2,10,25.42,6.5,291.83,11.17,82.67,-4.16,0.18,1004.91
2017,1,2,11,26.61,2.23,291.26,11.06,84.75,-3.62,-0.73,1005.12
2017,1,2,12,29.05,1.16,290.88,10.93,85.78,-2.77,-1.92,1005.34
2017,1,2,13,32.1,1.07,290.71,10.77,85.47,-1.95,-3.09,1005.43
2017,1,2,14,34.98,1.94,290.7,10.6,84.16,-1.48,-3.86,1005.5
2017,1,2,15,34.61,2.85,290.71,10.45,82.97,-1.64,-4.25,1005.68
2017,1,2,16,31.75,3.45,290.6,10.32,82.52,-2.13,-4.56,1005.87
2017,1,2,17,27.46,3.81,290.38,10.19,82.67,-2.75,-4.94,1006.1
2017,1,2,18,22.41,3.81,290.04,10.09,83.61,-3.35,-5.34,1006.33
2017,1,2,19,17.93,3.68,289.7,9.98,84.53,-3.92,-5.73,1006.58
2017,1,2,20,14.75,3.26,289.43,9.88,85.22,-4.36,-6.07,1006.97
2017,1,2,21,12.54,2.7,289.19,9.8,85.82,-4.5,-6.36,1007.18
2017,1,2,22,11.2,2.18,289.06,9.72,85.84,-4.44,-6.64,1007.38
2017,1,2,23,11.12,2.55,289.05,9.65,85.33,-4.32,-6.86,1007.57
2017,1,2,24,10.82,4.05,289.33,9.71,84.34,-4.18,-6.35,1007.75
2017,1,3,1,9.94,3.84,291.15,10.78,83.51,-2.4,-4.56,1009.08
2017,1,3,2,9.9,5.36,291.61,10.53,79.1,-4.04,-4.59,1007.17
2017,1,3,3,9.33,9.09,292.14,10.22,74.32,-5.2,-4.72,1007.21
2017,1,3,4,10.06,14.38,292.5,10.08,71.58,-5.68,-4.58,1006.32
2017,1,3,5,10.98,18.15,292.85,10.02,69.66,-6.16,-4.1,1006.1
2017,1,3,6,11.24,19.68,293,10.01,68.94,-6.59,-3.57,1005.54
2017,1,3,7,11.18,18.74,292.89,10.01,69.4,-6.92,-3.18,1005.55
2017,1,3,8,10.82,14.99,292.48,9.96,70.85,-6.9,-3.15,1005.74
2017,1,3,9,11.29,7.56,291.82,9.9,73.38,-6.41,-3.13,1005.87
2017,1,3,10,14.08,1.54,290.99,9.82,76.67,-6.12,-3.3,1006.09
2017,1,3,11,16.15,0.31,290.31,9.71,79.12,-5.65,-3.77,1006.25
2017,1,3,12,17.51,0.1,289.83,9.62,80.86,-5.02,-4.23,1006.36
2017,1,3,13,17.26,0.14,289.5,9.51,81.6,-4.39,-4.74,1006.32
2017,1,3,14,16.38,0.48,289.33,9.37,81.2,-3.78,-5.14,1006.11
2017,1,3,15,15.2,1.22,289.29,9.2,79.9,-3.41,-5.36,1006.09
2017,1,3,16,13.39,2.11,289.24,9.02,78.65,-3.32,-5.41,1006.06
2017,1,3,17,11.29,3.08,289.16,8.88,77.79,-3.31,-5.44,1006.06
2017,1,3,18,9.49,4.29,289.05,8.76,77.29,-3.23,-5.51,1006.05
2017,1,3,19,8.21,5.89,288.95,8.68,77.04,-3.07,-5.54,1006.04
2017,1,3,20,7.32,7.86,288.97,8.63,76.5,-2.88,-5.56,1006.22
2017,1,3,21,6.66,9.75,289.07,8.6,75.79,-2.69,-5.5,1006.26
2017,1,3,22,6.43,11.33,289.25,8.6,74.88,-2.46,-5.37,1006.31
2017,1,3,23,7.48,11.8,289.48,8.62,74.02,-2.12,-5.15,1006.34
2017,1,3,24,9.71,12,289.66,8.72,74,-1.45,-4.31,1006.36
2017,1,4,1,10.53,10.06,290.94,9.34,73.21,-0.44,-2.13,1007.65
2017,1,4,2,13.06,10.11,291.64,9.49,71.11,-1.48,-2.47,1005.27
2017,1,4,3,14.66,13.11,292.45,9.72,69.26,-2.44,-2.24,1005.27
2017,1,4,4,16.5,17.83,293.1,10.02,68.5,-3.38,-2.11,1004.71
2017,1,4,5,18.49,22.63,293.58,10.34,68.62,-4.21,-1.77,1004.53
2017,1,4,6,19.83,25.17,293.81,10.63,69.5,-4.91,-1.35,1004.07
2017,1,4,7,20.14,24.78,293.74,10.85,71.29,-5.37,-0.97,1003.77
2017,1,4,8,19.74,21.79,293.4,10.98,73.72,-5.43,-0.95,1003.92
2017,1,4,9,21.09,13.95,292.85,11.05,76.7,-5.07,-1.08,1004.01
2017,1,4,10,24.98,5.13,292.18,11,79.51,-5.13,-1.38,1004.17
2017,1,4,11,28.36,2.38,291.55,10.92,82.09,-4.84,-2.02,1004.29
2017,1,4,12,30.43,1.78,291.05,10.83,84.03,-4.32,-2.87,1004.39
2017,1,4,13,30.25,1.65,290.72,10.73,85,-3.68,-3.68,1004.39
2017,1,4,14,29.57,2.32,290.53,10.61,85.03,-2.88,-4.09,1004.13
2017,1,4,15,28.45,3.54,290.45,10.48,84.39,-2.28,-4.15,1004.03
2017,1,4,16,26.4,4.93,290.44,10.36,83.57,-1.88,-4.02,1003.9
2017,1,4,17,23.76,6.09,290.42,10.27,82.94,-1.67,-3.87,1003.8
2017,1,4,18,20.64,6.67,290.31,10.21,82.99,-1.39,-3.64,1003.7
2017,1,4,19,17.92,7.05,290.25,10.21,83.33,-1.17,-3.46,1003.75
2017,1,4,20,15.5,7.4,290.34,10.27,83.36,-0.97,-3.18,1004.13
2017,1,4,21,13.79,7.79,290.47,10.36,83.42,-0.66,-2.81,1004.44
2017,1,4,22,12.66,8.13,290.63,10.48,83.52,-0.27,-2.45,1004.75
2017,1,4,23,12.41,8.4,290.83,10.59,83.43,0.11,-2.09,1005.03
2017,1,4,24,12.43,10.41,291.07,10.74,83.29,0.51,-1.67,1005.3
2017,1,5,1,13.77,10.29,291.88,11.4,84.2,0.69,-0.84,1007.65
2017,1,5,2,13.98,13.06,292.42,11.41,81.23,0.18,-0.79,1004.48
2017,1,5,3,14.1,17.84,293.13,11.45,78.04,-0.64,-0.33,1003.99
2017,1,5,4,15.74,23.43,293.66,11.52,75.95,-1.23,0.06,1003.1
2017,1,5,5,18.95,29.62,294.06,11.6,74.56,-1.73,0.56,1002.37
2017,1,5,6,23.51,35.12,294.29,11.68,73.98,-2.13,1.07,1001.74
2017,1,5,7,27.71,36.9,294.24,11.75,74.66,-2.43,1.53,1001.42
2017,1,5,8,30.89,33.45,293.85,11.82,76.91,-2.52,1.85,1001.71
2017,1,5,9,34.95,25.35,293.2,11.88,80.38,-2.39,1.95,1002.01
2017,1,5,10,37.89,15.46,292.43,11.85,84.12,-2.26,2.12,1002.41
2017,1,5,11,37.6,10.94,291.86,11.8,86.84,-1.82,1.89,1002.75
2017,1,5,12,37.07,8.53,291.5,11.76,88.55,-1.23,1.41,1003.06
2017,1,5,13,37.33,7.83,291.26,11.72,89.58,-0.6,0.77,1003.19
2017,1,5,14,38.7,6.38,291.09,11.63,89.93,-0.21,0.13,1003
2017,1,5,15,41.06,4.5,290.94,11.51,89.79,-0.02,-0.4,1002.89
2017,1,5,16,43.2,3.34,290.81,11.37,89.42,0,-0.87,1002.72
2017,1,5,17,44.96,3.05,290.68,11.22,88.93,-0.04,-1.32,1002.61
2017,1,5,18,45.98,3.21,290.55,11.07,88.44,-0.13,-1.76,1002.48
2017,1,5,19,46.18,3.61,290.46,10.96,88.08,-0.34,-2.15,1002.5
2017,1,5,20,45.1,4.54,290.43,10.92,87.96,-0.7,-2.48,1002.83
2017,1,5,21,43.35,5.75,290.43,10.95,88.23,-1.08,-2.77,1003.11
2017,1,5,22,41.99,6.95,290.46,10.99,88.43,-1.45,-2.99,1003.39
2017,1,5,23,41.64,8.87,290.5,11.04,88.71,-1.81,-3.2,1003.68
2017,1,5,24,43,12.48,290.4,11.09,89.6,-1.95,-3.58,1003.93
2017,1,6,1,47.74,12.74,291.12,11.73,90.71,-2.15,-3.02,1005.27
2017,1,6,2,45.87,16.35,291.63,11.62,86.95,-3.27,-3.02,1003.79
2017,1,6,3,40.82,22.52,292.21,11.58,83.46,-3.82,-2.78,1003.4
2017,1,6,4,35.73,28.19,292.62,11.59,81.38,-4.25,-2.18,1002.7
2017,1,6,5,31.8,32.01,292.82,11.6,80.42,-4.68,-1.5,1002.01
2017,1,6,6,29.78,33.16,292.81,11.59,80.44,-5.17,-0.92,1001.66
2017,1,6,7,28.47,31.26,292.6,11.57,81.25,-5.6,-0.56,1001.39
2017,1,6,8,27.47,26.82,292.17,11.52,83.08,-6.04,-0.54,1001.46
2017,1,6,9,28.23,19.27,291.56,11.41,85.55,-6.23,-0.95,1001.73
2017,1,6,10,31.95,8.77,290.88,11.26,88.1,-6.11,-1.59,1002.06
2017,1,6,11,35.77,3.8,290.36,11.11,89.92,-5.77,-2.47,1002.31
2017,1,6,12,38.73,1.99,290.04,11.05,91.28,-5.33,-3.14,1002.49
2017,1,6,13,38.85,1.73,289.85,11.01,92.04,-5.02,-3.68,1002.49
2017,1,6,14,38.05,2.2,289.75,10.99,92.47,-4.71,-4.01,1002.31
2017,1,6,15,36.33,3.31,289.75,10.95,92.14,-4.39,-4.18,1002.19
2017,1,6,16,33.35,5.51,289.82,10.91,91.31,-4.17,-4.17,1002.04
2017,1,6,17,29.33,8.63,289.91,10.85,90.35,-4.12,-4,1001.92
2017,1,6,18,25.78,11.82,289.96,10.8,89.64,-4.03,-3.56,1001.81
2017,1,6,19,22.89,14.85,290,10.8,89.36,-3.91,-2.96,1001.59
2017,1,6,20,20.4,17.83,290.05,10.83,89.34,-3.58,-2.32,1001.44
2017,1,6,21,18.8,19.95,290.14,10.92,89.56,-2.88,-1.79,1001.3
2017,1,6,22,18.03,21.13,290.23,11.02,89.8,-2.02,-1.38,1001.17
2017,1,6,23,18.74,21.18,290.32,11.07,89.76,-1.33,-1.1,1001.04
2017,1,6,24,20.89,22.08,290.41,11.1,89.43,-0.72,-0.89,1000.89
